permit_id,application_date,province,mining_type,mineral_type,company_size,project_area,estimated_duration,distance_to_water,distance_to_protected_area,distance_to_indigenous_land,expected_employment,environmental_assessment_score,public_comments_received,public_opposition_percentage,company_compliance_history,previous_permits,approval_time_months,approval_confidence,approval_probability,decision_date
NRCAN-A5226,2024-05-15,Ontario,Open-pit,Uranium,Medium,3082.12,14,0.78,76.57,10.63,210,5.76,62,19.96,6.13,5,18.8,Low,0.5,2025-11-30
NRCAN-A5225,2020-10-29,Ontario,Open-pit,Uranium,Large,4724.36,9,27.3,44.63,144.11,398,7.81,56,59.45,1.2,14,18.8,Medium,0.65,2022-05-16
NRCAN-A5224,2022-03-16,Ontario,Underground,Uranium,Major,4632.76,26,25.9,25.11,18.08,279,4.22,950,39.72,7.41,13,15.2,High,0.8,2023-06-15
NRCAN-A5223,2021-01-02,Ontario,Underground,Copper,Medium,4940.47,6,45.19,66.61,34.57,426,8.62,786,21.24,2.13,11,9.8,High,0.8,2021-10-23
NRCAN-A5222,2025-06-10,Ontario,Underground,Sulphur/Pyrite,Large,4805.57,19,2.65,70.83,23.72,377,7.55,253,99.33,10.0,1,18.2,Medium,0.7,2026-12-08
NRCAN-A5221,2020-09-17,Ontario,Open-pit,Sulphur/Pyrite,Small,1397.64,16,24.13,69.89,88.62,96,4.66,944,40.61,8.2,0,17.5,Medium,0.7,2022-02-24
NRCAN-A5220,2025-09-19,Ontario,Underground,Iron,Large,3688.99,10,43.24,49.8,136.9,381,3.44,828,9.07,3.93,1,22.6,Low,0.5,2027-07-29
NRCAN-A5219,2022-03-08,Ontario,Open-pit,Unknown,Large,1588.38,13,17.81,57.52,93.72,108,4.58,58,78.15,6.67,14,16.1,Medium,0.5,2023-07-04
NRCAN-A5217,2025-02-06,Ontario,Underground,Iron,Major,3009.76,24,49.23,24.5,89.08,276,8.13,497,19.15,5.62,12,11.6,High,0.8,2026-01-20
NRCAN-A5198,2023-11-27,Ontario,Underground,Uranium,Major,3686.43,29,42.5,12.66,120.11,247,8.05,140,23.9,3.99,8,16.5,High,0.8,2025-04-05
NRCAN-A5197,2024-02-04,Ontario,Open-pit,Uranium,Medium,1023.21,21,13.26,45.01,8.31,84,3.5,337,67.89,7.98,6,25.5,Low,0.45,2026-03-10
NRCAN-A5196,2023-04-30,Ontario,Open-pit,Copper,Medium,3248.54,7,20.78,16.4,54.71,295,3.73,571,69.04,6.69,11,26.8,Low,0.4,2025-07-12
NRCAN-A5175,2023-09-30,Ontario,Underground,Gold,Medium,4436.51,11,0.61,54.69,9.97,387,6.98,196,3.35,8.25,10,11.7,Medium,0.65,2024-09-15
NRCAN-A5174,2022-06-30,Ontario,Open-pit,Sulphur/Pyrite,Medium,2773.05,26,46.5,24.21,117.87,333,1.0,482,36.95,7.02,7,23.2,Medium,0.65,2024-05-26
NRCAN-A5173,2022-07-20,Ontario,Underground,Sulphur/Pyrite,Small,937.23,21,6.59,47.24,62.18,246,7.71,214,18.71,4.04,14,9.4,High,0.8,2023-04-28
NRCAN-A5172,2021-02-22,Ontario,Open-pit,Sulphur/Pyrite,Large,1427.9,3,42.68,68.88,14.78,248,6.55,417,98.93,10.0,7,15.4,Medium,0.65,2022-05-30
NRCAN-A5171,2022-09-04,Ontario,Open-pit,Sulphur/Pyrite,Medium,519.99,20,45.58,53.42,62.15,65,4.08,560,41.61,4.23,6,12.9,Medium,0.65,2023-09-26
NRCAN-A5170,2024-06-16,Ontario,Underground,Graphite,Large,3054.71,11,14.52,92.75,58.71,204,4.85,654,54.59,5.82,7,18.3,Medium,0.55,2025-12-17
NRCAN-A5169,2025-09-08,Ontario,Underground,Sulphur/Pyrite,Small,4779.63,17,47.71,49.23,114.75,266,2.91,465,90.11,10.0,0,27.5,Low,0.45,2027-12-12
NRCAN-A5168,2020-09-07,Ontario,Underground,Copper,Large,135.54,9,23.17,76.13,101.89,150,1.75,879,56.5,8.99,1,20.8,Low,0.4,2022-05-24
NRCAN-A5167,2021-08-09,Ontario,Underground,Nickel,Medium,2098.51,11,32.81,97.7,72.34,196,5.4,986,27.28,4.68,8,16.1,Medium,0.65,2022-12-05
NRCAN-A5166,2025-08-10,Ontario,Underground,Copper,Medium,3218.07,22,41.08,79.25,81.8,255,8.5,619,5.55,6.67,7,18.5,High,0.8,2027-02-16
NRCAN-A5165,2022-02-20,Ontario,Open-pit,Gold,Medium,4259.53,16,25.71,64.44,92.47,395,6.09,650,5.29,5.98,10,14.0,Medium,0.7,2023-04-16
NRCAN-A5164,2021-07-21,Ontario,Underground,Copper,Large,3382.68,29,20.46,31.58,70.27,213,7.94,550,34.94,8.14,8,13.4,High,0.9,2022-08-27
NRCAN-A5163,2021-05-12,Ontario,Underground,Uranium,Large,4751.36,26,33.79,11.75,69.76,434,6.35,195,19.19,7.63,15,17.5,High,0.8,2022-10-19
NRCAN-A5162,2022-05-14,Ontario,Open-pit,Copper,Large,587.7,24,12.22,33.01,82.82,90,7.06,797,98.71,10.0,3,14.2,Medium,0.65,2023-07-14
NRCAN-A5161,2021-05-05,Ontario,Open-pit,Copper,Large,445.84,4,9.86,73.84,116.11,158,5.69,203,2.07,9.79,17,10.5,Medium,0.75,2022-03-16
NRCAN-A5176,2022-06-21,Ontario,Underground,Nickel,Small,3181.76,8,41.14,83.99,26.33,343,4.45,960,91.42,8.74,1,20.3,Medium,0.6,2024-02-20
NRCAN-A5177,2025-02-27,Ontario,Underground,Copper,Major,3324.3,27,14.01,38.33,126.39,351,2.08,217,62.24,9.0,3,27.6,Low,0.45,2027-06-05
NRCAN-A5178,2025-06-28,Ontario,Underground,Gold,Large,4545.57,10,9.51,66.87,85.19,270,2.86,137,58.78,6.01,18,22.3,Low,0.4,2027-04-28
NRCAN-A5179,2021-06-27,Ontario,Open-pit,Gold,Small,3749.63,6,22.49,4.24,100.68,213,4.45,590,4.87,5.48,9,19.5,Low,0.5,2023-02-02
NRCAN-A5195,2023-02-06,Ontario,Open-pit,Uranium,Small,2686.65,24,0.43,16.42,105.21,270,6.0,619,28.47,5.04,10,20.1,Medium,0.55,2024-10-01
NRCAN-A5194,2022-02-14,Ontario,Open-pit,Copper,Major,4243.59,18,49.28,39.72,53.81,399,6.55,350,64.09,6.39,13,19.5,Medium,0.55,2023-09-22
NRCAN-A5193,2022-12-14,Ontario,Open-pit,Copper,Large,3533.69,28,21.92,45.83,34.2,372,6.58,263,72.16,6.82,3,24.1,Low,0.5,2024-12-06
NRCAN-A5192,2021-05-17,Ontario,Underground,Copper,Medium,3401.09,19,34.81,5.82,53.19,258,2.38,437,14.12,2.23,17,29.5,Low,0.35,2023-10-19
NRCAN-A5191,2022-01-01,Ontario,Open-pit,Nickel,Small,1383.66,21,18.8,55.15,118.71,224,10.0,888,77.44,2.84,8,23.1,Medium,0.65,2023-11-25
NRCAN-A5190,2025-07-12,Ontario,Underground,Nickel,Small,3741.23,5,41.44,14.97,125.01,237,9.7,529,57.39,6.71,7,16.8,Medium,0.65,2026-11-28
NRCAN-A5189,2023-04-21,Ontario,Open-pit,Nickel,Large,4777.32,26,14.23,50.62,65.46,312,3.3,397,81.47,6.32,11,27.3,Low,0.4,2025-07-18
NRCAN-A5234,2023-08-26,Ontario,Underground,Uranium,Major,2424.61,28,18.89,43.04,124.38,264,3.7,788,8.81,8.42,13,20.8,Medium,0.65,2025-05-11
NRCAN-A5188,2023-03-12,Ontario,Open-pit,Gold,Large,3708.81,10,41.15,37.4,62.69,280,5.81,377,14.42,10.0,13,9.6,High,0.8,2023-12-25
NRCAN-A5186,2023-08-10,Ontario,Underground,Nickel,Large,1897.96,25,24.93,62.7,51.5,239,4.42,353,97.02,5.57,6,20.9,Medium,0.55,2025-04-28
NRCAN-A5185,2022-09-14,Ontario,Underground,Sulphur/Pyrite,Medium,1227.73,27,9.11,60.21,10.12,129,7.46,521,10.37,7.52,11,10.2,High,0.85,2023-07-17
NRCAN-A5184,2022-06-28,Ontario,Underground,Nickel,Medium,203.18,3,0.75,19.62,127.65,26,6.67,335,96.81,7.18,16,15.8,Low,0.45,2023-10-15
NRCAN-A5183,2023-02-26,Ontario,Open-pit,Nickel,Medium,686.68,6,25.58,16.06,146.13,111,5.62,556,54.98,5.15,6,16.8,Medium,0.5,2024-07-14
NRCAN-A5182,2020-10-07,Ontario,Open-pit,Copper,Medium,3232.85,13,27.1,49.84,131.41,350,9.27,291,19.9,8.95,14,10.7,High,0.9,2021-08-24
NRCAN-A5181,2025-08-14,Ontario,Open-pit,Iron,Major,4328.13,7,48.36,38.63,114.24,382,2.86,343,54.95,6.68,8,23.1,Low,0.4,2027-07-08
NRCAN-A5180,2023-08-11,Ontario,Open-pit,Gold,Small,2087.8,6,39.32,96.99,73.32,145,3.59,809,79.03,2.25,11,26.5,Low,0.35,2025-10-14
NRCAN-A5187,2023-01-18,Ontario,Underground,Molybdenum,Large,4189.46,13,37.65,34.16,112.33,398,5.02,871,77.51,7.88,16,14.4,Medium,0.65,2024-03-25
NRCAN-A5235,2023-07-16,Ontario,Open-pit,Uranium,Small,3959.83,6,13.31,48.73,77.9,324,7.13,452,4.83,9.3,2,10.7,High,0.85,2024-06-01
NRCAN-A5236,2025-08-05,Ontario,Open-pit,Copper,Small,3855.49,29,30.71,32.02,89.29,382,6.93,651,54.13,6.88,0,23.5,Low,0.5,2027-07-11
NRCAN-A5237,2023-06-13,Ontario,Open-pit,Nickel,Medium,3487.12,19,37.25,13.09,122.22,245,7.68,26,43.41,3.12,8,17.6,High,0.8,2024-11-22
NRCAN-A5291,2025-07-18,Ontario,Underground,Gold,Large,3843.87,10,45.23,50.84,76.06,250,4.65,0,87.48,3.73,12,20.9,Medium,0.55,2027-04-06
NRCAN-A5290,2023-01-25,Ontario,Open-pit,Copper,Major,2965.54,28,20.52,69.5,146.07,344,3.17,750,6.67,8.09,4,21.7,Medium,0.6,2024-11-06
NRCAN-A5289,2024-02-15,Ontario,Underground,Gold,Small,3200.18,9,47.03,1.68,119.84,194,6.86,132,50.09,7.65,17,24.1,Low,0.4,2026-02-07
NRCAN-A5288,2023-03-12,Ontario,Open-pit,Gold,Medium,1735.94,29,6.03,89.1,20.88,175,5.99,486,2.0,7.2,2,13.3,Medium,0.7,2024-04-14
NRCAN-A5287,2024-06-29,Ontario,Open-pit,Gold,Large,2941.5,3,1.85,44.22,147.19,233,6.16,370,38.96,5.53,17,13.1,Medium,0.7,2025-07-27
NRCAN-A5286,2023-04-17,Ontario,Open-pit,Copper,Medium,1097.56,22,19.81,70.8,102.85,246,6.31,4,98.52,6.63,10,23.6,Medium,0.55,2025-03-25
NRCAN-A5285,2024-09-20,Ontario,Underground,Zinc,Major,2834.42,21,21.41,77.49,10.6,162,8.01,320,53.65,5.35,6,20.8,Medium,0.6,2026-06-06
NRCAN-A5284,2025-03-20,Ontario,Underground,Copper,Large,2830.85,7,48.48,97.29,28.89,220,7.21,775,7.54,9.76,5,11.4,High,0.85,2026-02-25
NRCAN-A5283,2024-02-11,Ontario,Underground,Gold,Medium,1213.69,27,1.49,32.25,23.53,157,2.73,670,36.29,7.86,12,18.2,Medium,0.6,2025-08-10
NRCAN-A5282,2023-11-20,Ontario,Underground,Nickel,Large,1287.08,9,4.71,38.84,8.54,187,5.1,425,89.18,4.96,5,21.3,Low,0.45,2025-08-20
NRCAN-A5281,2021-12-03,Ontario,Open-pit,Copper,Major,4132.17,1,35.76,3.24,128.55,345,6.76,973,62.57,7.37,7,26.1,Low,0.45,2024-01-25
NRCAN-A5280,2025-01-25,Ontario,Open-pit,Copper,Large,3622.93,26,32.03,74.69,38.34,274,2.71,736,18.99,6.24,0,25.4,Low,0.5,2027-02-26
NRCAN-A5279,2024-01-18,Ontario,Open-pit,Copper,Large,2240.22,29,25.66,63.12,62.27,209,9.46,135,95.79,9.54,13,15.3,Medium,0.75,2025-04-21
NRCAN-A5278,2021-05-25,Ontario,Open-pit,Zinc,Large,675.25,26,27.86,67.31,89.93,139,4.99,181,17.41,4.75,5,16.3,Medium,0.6,2022-09-26
NRCAN-A5277,2023-01-03,Ontario,Underground,Anthraxolite,Small,1878.33,6,8.55,12.59,142.36,122,10.0,951,97.56,7.12,5,16.1,Medium,0.65,2024-04-30
NRCAN-A5292,2023-04-23,Ontario,Open-pit,Uranium,Small,4900.99,17,29.54,53.38,127.13,314,5.67,829,61.88,7.79,0,20.9,Medium,0.6,2025-01-09
NRCAN-A5293,2024-01-06,Ontario,Underground,Gold,Major,4556.23,1,37.35,41.63,25.58,282,5.29,9,15.42,6.82,0,14.3,Medium,0.65,2025-03-10
NRCAN-A5294,2021-02-07,Ontario,Underground,Gold,Large,2522.66,26,21.64,16.65,132.79,300,6.23,997,92.6,10.0,5,22.1,Medium,0.6,2022-12-02
NRCAN-A5295,2022-06-01,Ontario,Open-pit,Lead,Large,2446.86,18,21.63,16.62,12.25,222,6.0,805,57.62,6.05,12,21.4,Medium,0.55,2024-03-04
NRCAN-A5311,2022-07-30,Ontario,Underground,Nickel,Major,2766.67,26,11.13,82.66,124.79,241,2.6,645,7.28,6.09,3,24.7,Low,0.5,2024-08-09
NRCAN-A5310,2025-06-26,Ontario,Underground,Nickel,Small,4606.05,29,8.87,19.8,2.11,365,4.12,189,70.8,7.39,12,27.3,Medium,0.55,2027-09-23
NRCAN-A5309,2024-11-12,Ontario,Open-pit,Gold,Major,2717.22,19,46.22,58.69,39.42,224,3.21,450,59.15,5.72,14,28.0,Low,0.4,2027-03-02
NRCAN-A5308,2021-06-16,Ontario,Underground,Zinc,Large,1086.89,23,18.18,20.22,144.81,82,5.33,500,13.91,5.32,12,16.3,Medium,0.65,2022-10-18
NRCAN-A5307,2021-03-28,Ontario,Underground,Gold,Large,4087.53,21,29.51,42.06,124.14,355,3.89,340,34.29,6.32,18,19.7,Medium,0.55,2022-11-09
NRCAN-A5306,2024-09-24,Ontario,Open-pit,Copper,Medium,316.35,11,19.6,47.54,17.81,152,4.23,360,5.73,5.9,12,12.2,Medium,0.65,2025-09-25
NRCAN-A5305,2022-01-04,Ontario,Open-pit,Copper,Small,816.08,9,6.61,3.98,92.91,226,10.0,151,16.98,10.0,16,15.9,Medium,0.7,2023-04-26
NRCAN-A5276,2024-02-29,Ontario,Open-pit,Copper,Major,3124.14,26,16.5,91.25,56.85,282,5.25,964,45.43,7.45,5,15.1,Medium,0.75,2025-05-27
NRCAN-A5304,2020-07-24,Ontario,Underground,Nickel,Small,3003.17,1,22.67,79.57,113.52,189,3.53,937,87.82,4.58,19,24.8,Low,0.35,2022-08-07
NRCAN-A5302,2025-06-16,Ontario,Underground,Nickel,Small,3225.73,3,6.35,51.0,103.01,316,6.54,30,53.89,5.87,16,20.3,Medium,0.55,2027-02-15
NRCAN-A5301,2022-09-16,Ontario,Underground,Nickel,Major,3455.97,4,23.63,7.05,12.29,323,4.42,212,31.41,10.0,0,17.4,Medium,0.55,2024-02-20
NRCAN-A5300,2023-10-14,Ontario,Open-pit,Copper,Medium,328.21,8,45.9,27.18,41.59,158,2.03,548,48.82,7.87,7,16.5,Medium,0.6,2025-02-20
NRCAN-A5299,2021-03-13,Ontario,Open-pit,Gold,Large,305.35,10,38.24,44.68,129.87,74,8.71,92,89.06,6.65,18,15.1,Medium,0.6,2022-06-09
NRCAN-A5298,2025-04-18,Ontario,Open-pit,Copper,Large,838.11,9,5.05,82.41,15.98,194,4.23,664,97.84,8.47,13,13.4,Medium,0.6,2026-05-25
NRCAN-A5297,2023-01-10,Ontario,Underground,Copper,Major,148.48,6,36.73,46.83,106.34,178,4.26,519,58.34,8.8,16,16.5,Medium,0.6,2024-05-19
NRCAN-A5296,2021-07-30,Ontario,Open-pit,Nickel,Small,2194.12,6,3.51,29.45,3.43,276,5.89,845,68.92,10.0,2,27.0,Low,0.5,2023-10-18
NRCAN-A5303,2025-07-15,Ontario,Open-pit,Nickel,Large,3602.61,4,45.26,9.0,137.55,236,6.37,109,33.84,7.57,6,20.6,Medium,0.6,2027-03-25
NRCAN-A5313,2023-03-28,Ontario,Underground,Nickel,Major,1604.33,7,22.67,1.22,72.98,261,3.24,50,27.66,7.55,13,22.0,Low,0.45,2025-01-16
NRCAN-A5275,2024-02-03,Ontario,Open-pit,Gold,Medium,3132.88,11,0.73,2.99,116.77,190,5.09,130,61.3,8.72,2,29.4,Low,0.2,2026-07-04
NRCAN-A5273,2024-08-17,Ontario,Underground,Copper,Medium,3011.85,24,5.34,0.05,147.24,198,1.45,48,58.99,6.68,16,31.0,Low,0.15,2027-03-05
NRCAN-A5252,2024-07-27,Ontario,Underground,Copper,Major,1095.54,28,2.31,24.31,61.8,127,8.25,205,54.65,8.67,7,15.9,Medium,0.7,2025-11-16
NRCAN-A5251,2025-08-26,Ontario,Open-pit,Copper,Small,4071.41,15,15.97,26.58,113.76,260,4.33,93,60.61,2.92,13,18.6,Medium,0.55,2027-03-07
NRCAN-A5250,2024-08-02,Ontario,Underground,Gold,Major,1462.13,13,43.34,20.07,39.07,105,4.26,627,82.12,6.9,19,20.4,Medium,0.5,2026-04-06
NRCAN-A5249,2021-11-21,Ontario,Open-pit,Nickel,Large,177.2,18,17.91,90.82,101.28,114,4.32,862,31.15,6.44,15,12.3,Medium,0.65,2022-11-25
NRCAN-A5248,2025-02-22,Ontario,Underground,Nickel,Medium,4875.55,10,34.01,58.91,135.49,370,6.08,274,66.32,9.95,0,16.7,Medium,0.6,2026-07-08
NRCAN-A5247,2024-02-19,Ontario,Underground,Nickel,Large,668.93,20,49.18,60.5,106.26,214,5.3,780,3.42,8.28,16,12.7,High,0.8,2025-03-06
NRCAN-A5246,2024-09-11,Ontario,Underground,Nickel,Major,4610.49,23,19.35,24.27,108.04,292,5.41,329,69.65,8.6,4,18.6,Medium,0.6,2026-03-23
NRCAN-A5245,2024-01-18,Ontario,Open-pit,Gold,Large,3330.5,7,43.12,64.26,38.15,356,2.12,628,55.74,5.91,5,22.9,Low,0.35,2025-12-05
NRCAN-A5244,2022-12-13,Ontario,Open-pit,Gold,Medium,4859.29,19,32.62,94.26,7.14,293,9.04,958,18.85,4.29,17,16.2,High,0.8,2024-04-12
NRCAN-A5243,2024-05-12,Ontario,Underground,Unknown,Large,4264.12,12,45.56,97.29,33.6,339,4.07,435,63.27,8.24,3,19.9,Medium,0.6,2025-12-30
NRCAN-A5242,2025-07-24,Ontario,Underground,Copper,Medium,2077.99,21,11.16,93.58,93.4,286,4.97,565,72.76,5.1,7,22.1,Medium,0.55,2027-05-18
NRCAN-A5241,2023-02-03,Ontario,Underground,Nickel,Large,775.62,6,36.65,40.39,17.59,104,6.09,181,10.13,3.25,18,13.7,Medium,0.65,2024-03-20
NRCAN-A5240,2023-01-15,Ontario,Open-pit,Nickel,Small,3032.34,25,10.98,36.5,39.45,266,3.1,962,27.04,6.41,8,23.9,Medium,0.55,2025-01-01
NRCAN-A5239,2023-08-04,Ontario,Underground,Copper,Large,883.19,12,4.58,79.5,98.86,178,6.21,896,71.27,6.11,7,17.6,Medium,0.5,2025-01-13
NRCAN-A5238,2022-06-22,Ontario,Open-pit,Nickel,Major,4105.27,18,20.16,95.61,108.09,255,5.19,247,18.83,8.82,17,14.1,High,0.8,2023-08-19
NRCAN-A5253,2020-06-02,Ontario,Underground,Copper,Small,67.53,24,14.01,64.84,122.32,68,6.51,57,83.65,6.36,0,19.7,Low,0.45,2022-01-14
NRCAN-A5254,2024-09-22,Ontario,Open-pit,Nickel,Small,2078.9,4,9.05,81.24,127.74,127,6.31,31,26.51,6.57,4,12.7,Medium,0.6,2025-10-08
NRCAN-A5255,2023-08-08,Ontario,Open-pit,Gold,Medium,329.9,7,16.05,36.81,52.74,136,8.63,873,1.41,7.55,6,10.0,High,0.85,2024-06-03
NRCAN-A5256,2023-05-30,Ontario,Underground,Copper,Major,1457.56,3,30.7,17.64,51.57,173,7.31,560,94.87,6.45,0,19.6,Medium,0.55,2025-01-07
NRCAN-A5272,2024-03-23,Ontario,Underground,Nickel,Large,2188.77,11,32.43,92.19,22.14,242,8.8,750,51.35,6.25,0,20.6,Medium,0.6,2025-12-01
NRCAN-A5271,2021-05-15,Ontario,Underground,Nickel,Major,217.74,16,2.07,17.21,40.84,120,6.81,754,79.68,7.15,6,14.8,Medium,0.6,2022-08-02
NRCAN-A5270,2022-05-19,Ontario,Underground,Nickel,Small,1700.47,16,41.79,99.09,141.79,161,5.24,982,12.1,3.74,19,14.9,Medium,0.65,2023-08-09
NRCAN-A5269,2022-12-07,Ontario,Underground,Copper,Large,923.93,2,22.43,45.53,42.44,197,5.21,924,96.54,6.2,14,16.7,Medium,0.5,2024-04-21
NRCAN-A5268,2020-07-16,Ontario,Open-pit,Nickel,Small,1656.93,13,33.33,83.81,28.93,249,10.0,248,21.25,9.17,3,14.1,High,0.85,2021-09-12
NRCAN-A5267,2021-05-07,Ontario,Open-pit,Nickel,Small,1912.56,27,5.0,18.27,100.44,255,4.69,26,27.52,8.66,13,11.3,High,0.8,2022-04-11
NRCAN-A5266,2024-07-03,Ontario,Underground,Nickel,Major,2790.04,24,31.19,80.63,83.28,297,5.15,700,15.55,8.26,3,14.9,Medium,0.75,2025-09-23
NRCAN-A5274,2024-07-13,Ontario,Underground,Nickel,Large,4708.85,4,19.01,43.79,48.0,341,4.64,528,60.68,6.93,13,14.8,Medium,0.55,2025-09-30
NRCAN-A5265,2022-01-14,Ontario,Open-pit,Nickel,Large,3242.3,18,33.95,86.84,53.87,337,3.05,458,94.44,5.95,12,27.4,Low,0.4,2024-04-15
NRCAN-A5263,2024-01-08,Ontario,Underground,Cobalt,Large,2269.14,26,39.93,45.9,147.47,213,7.28,531,8.6,4.69,18,13.4,High,0.8,2025-02-13
NRCAN-A5262,2024-01-27,Ontario,Open-pit,Zinc,Medium,3410.72,17,4.99,43.78,125.38,228,5.77,188,95.9,4.89,3,19.6,Low,0.5,2025-09-06
NRCAN-A5261,2021-06-01,Ontario,Open-pit,Sulphur/Pyrite,Large,2634.03,23,39.88,91.8,26.04,279,4.19,603,53.87,4.43,17,19.0,Medium,0.55,2022-12-23
NRCAN-A5260,2021-03-15,Ontario,Underground,Copper,Medium,684.51,23,8.1,25.67,109.69,93,3.46,868,99.27,5.9,12,18.3,Low,0.35,2022-09-15
NRCAN-A5259,2022-04-11,Ontario,Open-pit,Nickel,Small,1236.51,26,16.76,66.45,106.02,86,7.4,653,97.7,6.16,13,20.1,Medium,0.6,2023-12-05
NRCAN-A5258,2024-08-10,Ontario,Open-pit,Gold,Medium,1480.57,16,35.57,54.66,59.59,172,4.93,868,63.33,3.41,3,21.8,Low,0.45,2026-05-26
NRCAN-A5257,2023-11-15,Ontario,Open-pit,Copper,Major,3222.3,25,25.07,34.31,137.05,191,9.46,613,26.28,3.41,7,17.0,Medium,0.75,2025-04-08
NRCAN-A5264,2021-07-12,Ontario,Open-pit,Nickel,Large,626.78,8,10.71,96.74,114.87,218,8.09,664,53.1,5.32,17,14.9,Medium,0.65,2022-10-02
NRCAN-A5921,2025-09-23,Ontario,Open-pit,Garnet (Gemstones),Small,4596.38,16,15.56,86.85,43.14,293,5.69,723,58.36,7.7,16,18.6,Medium,0.65,2027-04-04
NRCAN-A6306,2024-03-14,Ontario,Open-pit,Copper,Small,280.87,22,24.94,7.11,69.72,56,4.75,385,28.93,9.1,0,18.0,Medium,0.5,2025-09-05
NRCAN-A5923,2023-05-13,Ontario,Underground,Unknown,Large,61.85,22,26.28,76.95,90.81,14,6.52,305,22.12,5.33,4,18.3,Medium,0.6,2024-11-12
NRCAN-A7128,2021-01-29,Ontario,Underground,Silver,Small,2561.26,7,25.4,41.64,146.3,236,6.86,735,60.61,8.0,11,15.3,Medium,0.65,2022-05-03
NRCAN-A7129,2023-02-05,Ontario,Open-pit,Silver,Large,653.54,12,37.15,25.7,57.49,71,7.13,304,75.16,10.0,1,16.2,Medium,0.65,2024-06-05
NRCAN-A6693,2024-08-26,Ontario,Underground,Gold,Large,2605.27,16,47.11,54.62,140.39,281,5.84,912,55.38,2.93,1,19.2,Low,0.5,2026-03-25
NRCAN-A6692,2022-02-20,Ontario,Open-pit,Gold,Major,3365.83,18,48.7,8.36,81.69,234,4.49,262,19.39,5.13,3,24.5,Low,0.45,2024-02-25
NRCAN-A6691,2025-03-16,Ontario,Underground,Gold,Medium,3701.19,18,17.2,74.86,87.63,300,4.97,583,37.87,9.89,8,14.2,High,0.8,2026-05-16
NRCAN-A6690,2022-09-27,Ontario,Open-pit,Gold,Major,4556.6,7,4.77,84.35,100.59,411,9.13,298,10.39,2.28,3,13.8,Medium,0.75,2023-11-15
NRCAN-A6689,2021-07-20,Ontario,Open-pit,Copper,Large,3037.24,5,14.42,28.41,45.81,346,2.57,849,12.85,5.08,12,19.5,Medium,0.55,2023-02-25
NRCAN-A6694,2025-06-15,Ontario,Open-pit,Gold,Medium,433.39,7,37.54,87.24,146.72,137,6.66,389,1.2,6.84,10,13.6,Medium,0.65,2026-07-28
NRCAN-A6688,2020-07-20,Ontario,Underground,Gold,Major,2743.08,21,40.0,14.34,68.81,255,5.32,643,37.27,10.0,4,13.4,Medium,0.75,2021-08-26
NRCAN-A6686,2021-01-08,Ontario,Open-pit,Gold,Major,4331.02,8,24.19,83.17,100.36,314,2.89,88,94.22,6.81,3,25.1,Low,0.35,2023-01-31
NRCAN-A6685,2023-07-23,Ontario,Open-pit,Zinc,Large,4301.73,7,1.44,55.37,30.54,326,6.31,792,19.44,5.12,0,14.9,Medium,0.65,2024-10-12
NRCAN-A7130,2024-12-15,Ontario,Underground,Silver,Small,3651.49,18,9.15,80.62,41.1,266,6.16,240,41.6,8.6,10,13.6,High,0.8,2026-01-27
NRCAN-A6684,2023-04-23,Ontario,Underground,Gold,Small,1060.6,16,38.94,6.86,89.21,156,4.61,713,48.36,7.39,6,17.9,Medium,0.55,2024-10-11
NRCAN-A6683,2022-01-19,Ontario,Open-pit,Gold,Medium,3228.54,9,49.65,82.34,8.02,193,3.39,665,45.35,4.13,0,20.9,Low,0.45,2023-10-08
NRCAN-A6682,2020-06-17,Ontario,Open-pit,Gold,Medium,2351.22,12,47.53,37.84,88.31,234,6.58,384,33.7,10.0,14,9.8,High,0.8,2021-04-07
NRCAN-A6681,2023-12-19,Ontario,Open-pit,Gold,Medium,3671.55,17,8.08,94.29,33.83,282,6.24,830,72.12,6.95,19,21.3,Medium,0.55,2025-09-18
NRCAN-A6687,2023-02-03,Ontario,Open-pit,Copper,Major,1608.44,7,20.36,41.86,139.79,271,5.92,618,0.02,9.21,16,12.8,High,0.8,2024-02-22
NRCAN-A6695,2023-01-12,Ontario,Open-pit,Gold,Large,548.03,21,45.37,57.71,107.55,146,3.23,937,50.61,4.23,18,22.6,Low,0.35,2024-11-20
NRCAN-A6696,2022-04-08,Ontario,Open-pit,Gold,Medium,1502.05,2,10.64,6.49,29.4,117,6.74,427,28.28,4.6,17,18.2,Low,0.45,2023-10-06
NRCAN-A6697,2024-10-18,Ontario,Open-pit,Gold,Small,1065.5,17,31.13,82.31,142.01,192,5.64,660,32.15,4.94,14,15.8,Medium,0.65,2026-02-04
NRCAN-A6710,2020-11-02,Ontario,Open-pit,Gold,Medium,4097.96,28,19.15,25.73,17.97,372,7.04,398,42.2,8.52,10,12.5,High,0.9,2021-11-12
NRCAN-A7124,2021-09-18,Ontario,Underground,Silver,Major,1502.28,3,34.76,64.53,88.04,254,4.75,459,53.45,7.49,7,21.1,Medium,0.65,2023-06-13
NRCAN-A6709,2020-11-10,Ontario,Open-pit,Gold,Medium,1400.24,8,43.11,16.55,97.82,233,8.56,528,15.24,3.83,12,14.8,High,0.8,2022-01-28
NRCAN-A6708,2022-03-27,Ontario,Open-pit,Gold,Medium,2649.26,22,14.92,83.42,21.2,168,5.42,465,38.14,7.63,7,16.1,Medium,0.75,2023-07-23
